Region,Operator,Type,Cell,Freq,Band
A-R1,A,LTE,285,53140,46
A-R1,A,LTE,286,53341,46
A-R1,A,LTE,287,53539,46
A-R2,A,LTE,440,66486,66
A-R2,A,LTE,397,9820,30
A-R2,A,LTE,400,850,2
A-R2,A,LTE,1,66486,66
A-R2,A,LTE,115,66936,66
A-R2,A,LTE,179,9820,30
A-R1,A,LTE,162,53539,46
A-R2,A,LTE,293,850,2
A-R2,A,LTE,319,850,2
A-R2,A,LTE,6,850,2
A-R1,A,LTE,161,66661,66
A-R1,A,LTE,5,66486,66
A-R2,A,LTE,308,850,2
A-R1,A,LTE,295,66486,66
A-R1,A,LTE,183,66936,66
A-R2,A,LTE,1,850,2
A-R2,A,LTE,312,66486,66
A-R1,A,LTE,316,53140,46
A-R1,A,LTE,331,53341,46
A-R1,A,LTE,275,53539,46
A-R2,A,LTE,277,850,2
A-R1,A,LTE,285,52940,46
A-R1,A,LTE,286,53141,46
A-R1,A,LTE,287,53339,46
A-R5,A,LTE,458,53140,46
A-R1,A,LTE,295,53341,46
A-R1,A,LTE,457,53539,46
A-R2,A,LTE,457,850,2
A-R1,A,LTE,423,66661,66
A-R2,A,LTE,212,9820,30
A-R2,A,LTE,429,66486,66
A-R3,A,LTE,417,5330,14
A-R2,A,LTE,252,66661,66
A-R2,A,LTE,424,850,2
A-R2,A,LTE,9,850,2
A-R2,A,LTE,386,66486,66
A-R2,A,LTE,164,850,2
A-R2,A,LTE,349,850,2
A-R1,A,LTE,313,5330,14
A-R2,A,LTE,255,53139,46
A-R2,A,LTE,236,5110,12
A-R5,A,LTE,170,5110,12
A-R1,A,LTE,143,53539,46
A-R1,A,LTE,96,53140,46
A-R1,A,LTE,445,53140,46
A-R1,A,LTE,475,53341,46
A-R1,A,LTE,462,53539,46
A-R1,A,LTE,380,5330,14
A-R1,A,LTE,170,52940,46
A-R1,A,LTE,271,53141,46
A-R1,A,LTE,272,53339,46
A-R2,A,LTE,280,850,2
A-R3,A,LTE,428,5110,12
A-R3,A,LTE,231,9820,30
A-R2,A,LTE,362,66486,66
A-R2,A,LTE,326,66486,66
A-R1,A,LTE,456,53341,46
A-R1,A,LTE,469,53140,46
A-R1,A,LTE,363,53539,46
A-R4,A,LTE,279,5110,12
A-R2,A,LTE,382,850,2
A-R1,A,LTE,357,52940,46
A-R1,A,LTE,373,66486,66
