pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
56,66536,18,176930,63,56044,None,None,None,None,None,None,None,None,None,None,3,65
56,66536,56,176930,63,56044,None,None,None,None,None,None,None,None,None,None,2,66
356,66536,None,None,238,47291,238,47090,238,47489,None,None,None,None,None,None,2,6
356,66536,356,176930,238,47291,238,47090,238,47489,None,None,None,None,None,None,1,1
356,66536,317,2071667,238,47291,238,47090,238,47489,None,None,None,None,None,None,2,69
356,66536,356,176930,238,56440,238,56044,238,56242,None,None,None,None,None,None,2,2
459,66536,181,176930,24,56242,None,None,None,None,None,None,None,None,None,None,9,1780
213,66536,23,2071667,21,47489,21,47090,21,47291,None,None,None,None,None,None,1,147
413,66536,23,2071667,413,925,477,47291,477,47090,None,None,None,None,None,None,1,1
413,66536,479,2239999,413,925,477,47291,477,47090,None,None,None,None,None,None,1,37
220,66536,None,None,6,56044,6,56242,6,56440,None,None,None,None,None,None,1,12
220,66536,413,176930,6,56440,None,None,None,None,None,None,None,None,None,None,2,14
220,66536,220,176930,6,56440,None,None,None,None,None,None,None,None,None,None,6,1334
224,66536,81,176930,104,56242,None,None,None,None,None,None,None,None,None,None,19,2131
